Summary,,,,,,,,,
OrgId,ParticipantId,DeviceId,InstalledDate,AcceptanceDate,Extension,BrowsingCount,BookmarkCount,CookieCount,
py_demo_client,demoUser@py-insights.com,2nwjevbvxzm7ehb254,2025-02-20T23:58:02-08:00,2025-02-20T23:58:20-08:00,Chrome,5104,0,0,
,,,,,,,,,
Browsing,,,,,,,,,
OrgId,ParticipantId,DeviceId,url,eventtimeutc,transition,title,visitId,referringVisitId,eventtime
py_demo_client,demo,2nwjevbvxzm7ehb254,chrome-extension://hkmmnfimlpcphpgnmgdecpdpaefjnlga/snapshot.html,2025-02-21T07:58:02.688Z,link,,166328,0,2025-02-20T23:58:02-08:00
py_demo_client,demo,2nwjevbvxzm7ehb254,https://chromewebstore.google.com/detail/snapshot/hkmmnfimlpcphpgnmgdecpdpaefjnlga?orgId=py_demo_client&product=snapshot&participantId=user@email.com&pli=1,2025-02-21T07:57:51.308Z,link,Snapshot - Chrome Web Store,166327,166326,2025-02-20T23:57:51-08:00
py_demo_client,demo,2nwjevbvxzm7ehb254,https://py-insights.com/account/demo/product?source=d_snapshot,2025-02-21T07:57:40.972Z,link,PY Insights | Product,166319,0,2025-02-20T23:57:40-08:00
py_demo_client,demo,2nwjevbvxzm7ehb254,https://py-insights.com/account/demo/product?source=d_snapshot,2025-02-21T07:57:40.988Z,link,PY Insights | Product,166321,0,2025-02-20T23:57:40-08:00
py_demo_client,demo,2nwjevbvxzm7ehb254,https://py-insights.com/account/demo/product,2025-02-21T07:57:38.017Z,link,PY Insights | Product,166318,0,2025-02-20T23:57:38-08:00
py_demo_client,demo,2nwjevbvxzm7ehb254,https://py-insights.com/account/demo/product,2025-02-21T07:57:40.975Z,link,PY Insights | Product,166320,0,2025-02-20T23:57:40-08:00
py_demo_client,demo,2nwjevbvxzm7ehb254,https://cs-rtl.my.salesforce-sites.com/cts/timetrade_sf1__meetingstatus?Id=CfOz60kLVHx92uS61EkgZcO4XajjlVxO4nTis64nfgU-Z&timeZone=America%2FLos_Angeles&sfdcIFrameOrigin=null,2025-02-21T07:43:10.710Z,link,Manage Meeting,166316,166317,2025-02-20T23:43:10-08:00
py_demo_client,demo,2nwjevbvxzm7ehb254,https://py-insights.com/account/instants/myquotes,2025-02-21T07:39:12.035Z,link,PY Insights | New Quote,166315,0,2025-02-20T23:39:12-08:00
